,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion
2742,LHCG,134.64,176.20,223.80,108.42,334.09k,411.82k,93.26%
2743,LKQ,57.21,51.14,60.05,34.11,1.33M,1.63M,100.72%
2744,LMAO,10.00,9.93,10.13,9.67,14.16k,18.45k,70.19%
2745,LPLA,165.03,150.76,176.96,101.90,366.25k,446.48k,97.66%
2746,LYTS,7.44,7.90,11.22,6.31,67.68k,55.31k,67.46%
2747,LSBK,15.08,14.93,16.00,12.90,210,1.88k,7.63%
2748,LBAI,18.46,17.68,19.43,12.40,188.87k,131.93k,64.40%
2749,LAKE,20.38,23.46,47.95,18.58,66.73k,60.06k,70.11%
2750,LRCX,640.08,617.72,728.38,473.32,1.1M,1.36M,85.83%
2751,LANC,161.69,179.04,201.31,145.79,94.88k,95.12k,60.67%
2752,LCA,9.79,9.76,10.00,9.60,22.66k,106.15k,72.27%
2753,LARK,27.93,26.22,30.00,21.38,3.53k,3.64k,22.87%
2754,LSEA,8.24,8.73,10.79,7.00,67.86k,42.11k,20.41%
2755,LTRN,8.93,12.93,23.50,7.05,138.79k,82.45k,34.62%
2756,LANV,,,,,,,
2757,LGO,10.43,13.43,18.71,7.86,117.5k,102.59k,11.32%
2758,LSPRU,10.00,10.00,10.02,9.97,548.92k,548.92k,N/A
2759,LMIN,,,,,,,
2760,LSCC,76.35,60.45,85.45,37.38,917.86k,916.82k,102.52%
2761,LIEQX,,,,,,,
2762,LAUR,12.09,14.32,19.02,9.41,2.03M,1.36M,102.17%
2763,LAWS,50.47,52.74,62.10,44.15,18.2k,13.53k,88.28%
2764,LAZY,20.68,21.82,25.74,15.52,141.12k,142.16k,68.92%
2765,LMAT,51.36,53.40,64.50,39.38,130.71k,100.47k,83.09%
2766,LPTX,2.6214,2.1075,4.1700,1.3300,2.08M,2.14M,50.48%
2767,YZCM,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2768,FLPB,,,,,,,
2769,LGCY,0.01,0.01,0.02,0.01,5.13M,5.13M,N/A
2770,LZ,20.74,28.45,40.94,15.01,1.16M,953.38k,34.05%
2771,LGTO,9.81,9.81,10.01,9.73,37.38k,37.38k,5.01%
2772,LHAA,9.81,9.84,10.15,9.62,59.79k,45.74k,93.24%
2773,LESL,21.75,24.24,32.84,19.80,2.74M,1.89M,108.71%
2774,LVRA,9.78,9.75,10.10,9.60,92.65k,53.93k,N/A
2775,LEXX,5.5379,6.0156,12.5000,3.7790,216.12k,322.55k,6.29%
2776,LBRDK,163.11,167.84,194.05,142.63,883.34k,885.93k,90.67%
2777,LBYAV,,,,,,,
2778,LBTYK,28.36,27.65,30.49,23.10,2.39M,2.11M,84.94%
2779,QVCB,,,,,,,
2780,LILA,12.14,13.30,14.79,9.97,284.78k,250.3k,78.70%
2781,LSTBV,,,,,,,
2782,LMACA,10.31,10.23,11.70,9.97,44.8k,139.38k,24.08%
2783,LCAPB,,,,,,,
2784,LSTBD,,,,,,,
2785,LMCBV,,,,,,,
2786,BATRK,28.80,27.42,31.76,24.60,80.24k,91.49k,77.85%
2787,LSXMB,51.15,48.87,58.13,42.06,170,187,1.04%
2788,BATRA,29.32,27.92,34.99,24.75,46.08k,68.89k,80.36%
2789,FWONA,54.93,45.61,59.11,34.57,131.76k,153.04k,92.70%
2790,LIBYU,10.16,10.16,10.25,10.08,79.07k,232.41k,8.27%
2791,LTRPA,2.7084,3.9581,7.7400,2.0100,702.3k,737.44k,75.39%
2792,LFMD,4.5532,8.8671,33.0200,3.7000,332.51k,412.35k,27.15%
2793,LFST,10.17,16.23,29.81,7.64,714.25k,1.14M,64.38%
2794,LCUT,17.11,16.38,19.93,12.35,42.39k,32.9k,45.14%
2795,LFVN,6.80,7.56,10.56,6.10,31.91k,47.19k,51.67%
2796,LGND,152.34,135.99,219.75,98.62,178.36k,121.85k,101.18%
2797,LTBR,9.19,6.72,14.60,3.75,153.59k,220.32k,6.49%
2798,LIHR,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2799,LMB,7.49,8.65,16.09,5.83,51.99k,48.22k,50.40%
2800,LLNW,3.0642,2.9929,5.6100,2.3000,2.49M,1.47M,55.55%
2801,LMNL,1.3939,2.9961,6.9500,0.8800,241.88k,203.97k,0.50%
2802,LLGX,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2803,LECO,140.37,133.84,148.54,110.52,297.53k,199.27k,75.57%
2804,LIOX,,,,,,,
2805,LIONU,10.05,10.05,10.19,9.89,922,219.84k,N/A
2806,LIQT,5.30,6.41,12.70,4.69,49.24k,68.57k,48.10%
2807,YVR,1.3940,1.9295,7.5000,1.0400,371.47k,607.08k,3.09%
2808,LQDT,22.63,22.14,30.00,14.21,231.29k,193.82k,71.09%
2809,LIVN,83.63,82.16,93.89,61.73,380.57k,395.02k,103.79%
2810,LIVE,33.31,39.79,75.25,11.50,17.93k,10.8k,12.56%
2811,LPSN,43.53,55.16,72.23,33.13,1.06M,881.64k,101.97%
2812,LVGO,,,,,,,
2813,LMIA,,,,,,,
2814,LWAC,,,,,,,
2815,LOGC,3.2336,4.4827,9.7400,2.1500,186.49k,97.62k,59.58%
2816,LOGI,82.36,102.96,140.17,76.70,603.62k,821.79k,67.14%
2817,LBPH,6.34,9.11,18.95,5.05,62.35k,36.07k,75.35%
2818,LOOP,13.93,11.09,18.20,7.49,70.57k,99.59k,12.54%
2819,RIDE,4.7956,7.6434,31.5680,3.5100,6.82M,9.31M,27.01%
2820,LOVE,74.28,69.41,95.51,38.91,289.65k,389.39k,106.11%
2821,LYLTV,37.98,37.98,98.95,29.00,1.55M,991.12k,N/A
2822,LTXCD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2823,LUCD,8.1074,8.2232,13.5200,4.6100,470.85k,371.5k,N/A
2824,LHDX,6.32,7.37,37.99,4.23,494.9k,285.85k,50.06%
2825,LULU,435.50,381.84,485.83,269.28,1.42M,992.96k,88.19%
2826,LITE,92.06,86.16,112.08,65.67,801.11k,754.65k,96.16%
2827,LAZR,16.99,19.19,40.98,13.45,7.37M,5.63M,34.59%
2828,LMDX,9.21,9.56,11.09,7.15,42.57k,304.58k,3.81%
2829,LUNA,9.00,10.27,13.05,7.90,151.02k,163.31k,54.57%
2830,LBC,14.17,12.77,15.37,9.18,52.47k,28.59k,15.50%
2831,LUXA,9.86,9.94,13.27,9.68,51.96k,82.17k,57.13%
2832,LYFT,45.42,53.14,68.28,36.25,5.35M,5.95M,82.34%
2833,FSTR,15.41,16.77,19.47,12.62,40.11k,34.96k,64.86%
2834,LGVCU,10.04,10.04,10.15,9.98,14.86k,42.15k,N/A
2835,LVACU,10.12,10.12,10.20,9.89,23.31k,292.81k,10.84%
2836,LCNB,18.72,17.72,20.69,14.07,26.83k,23.43k,39.47%
2837,LFAC,,,,,,,
2838,LGIH,147.65,155.90,188.00,95.54,265.07k,214.84k,89.28%
2839,JADEW,,,,,,,
2840,LMFA,5.99,5.14,18.50,3.20,111.31k,2M,13.67%
2841,LMPX,11.17,14.58,31.43,6.75,98.82k,60.94k,6.26%
2842,LJPC,4.1900,4.1670,7.8500,3.3500,113.99k,126.65k,70.15%
2843,LSBG,,,,,,,
2844,LKFN,74.40,67.90,80.77,53.03,290.41k,139.52k,83.32%
2845,LAAA,9.84,9.79,9.90,9.58,N/A,20.15k,N/A
2846,LAMR,116.02,108.31,123.92,78.06,362.92k,370.2k,95.15%
2847,LNDC,9.69,10.71,12.88,7.65,139.87k,134.16k,91.66%
2848,LABP,9.72,11.63,16.99,4.54,126.94k,108.35k,65.69%
2849,LE,23.50,28.34,44.40,17.40,295.29k,243.01k,43.75%
2850,LSTR,174.35,166.19,188.63,132.36,247.79k,263.01k,102.64%
2851,LNTH,27.11,24.92,31.60,13.30,632.92k,431.32k,95.00%
2852,LTRX,7.86,5.99,10.25,4.06,191.97k,316.07k,25.73%
2853,LSBCD,,,,,,,
2854,LRMR,11.06,11.77,23.95,7.00,38.02k,44.6k,92.66%
2855,LSCP,,,,,,,
2856,LTCH,8.52,10.76,19.70,7.01,999k,1.06M,31.19%
2857,LEMIX,,,,,,,
2858,LIEFX,,,,,,,
2859,LWSN,,,,,,,
2860,LGAC,9.76,9.77,10.33,9.63,30.63k,93.24k,63.40%
2861,LEGA,9.79,9.76,9.95,9.65,23k,36.56k,N/A
2862,LEAP,10.26,10.50,16.36,9.78,105.93k,65.92k,51.57%
2863,LEE,25.90,26.49,41.00,12.30,81.32k,72.47k,35.62%
2864,LFTR,9.82,9.79,12.45,9.66,14.48k,65.69k,60.71%
2865,LEGH,23.39,19.40,28.84,13.95,37.96k,43.94k,20.81%
2866,LEGO,,,,,,,
2867,LGTOU,10.05,10.05,10.12,9.98,7.45k,675.89k,0.01%
2868,TREE,131.48,175.47,372.64,105.00,252.62k,338.39k,94.96%
2869,LEVL,37.08,29.68,40.70,17.90,25.52k,33.02k,42.24%
2870,LXRX,4.7226,4.6817,9.6500,3.2600,612.12k,720.15k,84.95%
2871,LBRDA,160.63,163.58,188.76,138.04,260.54k,184.8k,85.54%
2872,LBYKV,,,,,,,
2873,LBTYA,28.25,27.63,30.58,23.19,1.06M,1.2M,93.21%
2874,LBTYB,28.47,28.14,38.89,22.58,320,440,0.23%
2875,LLACU,,,,,,,
2876,LILAK,11.99,13.34,14.95,9.74,869.65k,748.91k,77.79%
2877,LMDIB,,,,,,,
2878,LMDIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2879,LCPBD,,,,,,,
2880,LSTZB,,,,,,,
2881,LMCBD,,,,,,,
2882,LSXMA,50.60,47.29,56.26,39.40,542.93k,688.78k,93.73%
2883,LSXMK,50.41,47.16,56.19,39.05,697.08k,744.02k,85.26%
2884,FWONK,58.98,50.39,62.80,38.84,859.33k,1M,98.82%
2885,LSTTA,,,,,,,
2886,LTRPB,26.08,30.39,110.00,16.90,2.9k,938,0.02%
2887,LSAQ,,,,,,,
2888,LPNT,,,,,,,
2889,LWAY,5.3304,5.5084,7.2000,4.5100,11.59k,11.55k,7.82%
2890,LJAQ,9.86,9.81,9.93,9.55,4.34k,9.15k,51.07%
2891,LPTH,2.0524,2.3462,5.4500,1.6900,243.88k,298.97k,26.41%
2892,LWLG,14.05,8.24,20.30,0.90,2.16M,1.03M,0.41%
2893,LILM,8.26,9.53,15.53,6.52,694.57k,983.01k,9.50%
2894,LIMC,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2895,LMST,18.73,17.16,20.00,11.52,2.64k,3.86k,40.71%
2896,LMNR,15.64,16.96,20.74,14.16,118.68k,37.86k,50.85%
2897,LINC,7.32,7.00,8.20,5.25,77.38k,80.12k,67.07%
2898,LIND,15.93,15.72,21.91,11.31,216.91k,220.29k,69.48%
2899,LGHLW,N/A,N/A,0.1301,0.1300,N/A,N/A,N/A
2900,LCAP,9.95,9.89,11.80,9.72,186.73k,73.17k,75.80%
2901,LION,9.87,9.87,11.06,9.79,126.95k,102.03k,N/A
2902,LPCN,1.0996,1.2770,2.4200,0.9680,496.88k,580.02k,10.48%
2903,LQDA,4.1882,3.0758,5.4000,2.2500,262.7k,539.85k,42.56%
2904,LFUS,307.85,275.47,334.84,234.59,86.2k,84.41k,98.77%
2905,LOB,86.82,68.12,99.89,38.50,430.73k,296.53k,58.97%
2906,LVO,2.0564,3.4400,6.9500,1.1900,2.36M,730.83k,42.16%
2907,LVOX,5.29,7.70,11.43,4.20,264.13k,223.11k,87.92%
2908,LIXT,1.6416,2.4248,7.1900,1.1100,93.72k,52.68k,10.76%
2909,LPLHA,,,,,,,
2910,LNET,,,,,,,
2911,LRFC,24.54,23.94,28.90,14.04,10.46k,10.87k,14.52%
2912,LITT,9.74,9.74,9.83,9.33,260,3.11k,N/A
2913,LICB,,,,,,,
2914,LGVN,12.24,7.27,45.00,2.84,2.3M,12.58M,3.06%
2915,LORL,45.45,40.67,56.54,19.69,81.99k,79.92k,83.57%
2916,LTRY,9.53,11.32,17.50,4.61,1.28M,860.03k,2.65%
2917,LEIX,,,,,,,
2918,LYLT,31.72,31.72,52.50,26.92,394.02k,628.34k,N/A
2919,LTXX,,,,,,,
2920,LCID,40.98,27.36,64.86,10.00,48.49M,73.02M,68.96%
2921,LVLU,12.31,12.31,15.09,9.85,279.3k,379.07k,N/A
2922,LMNX,,,,,,,
2923,LUMO,8.25,9.83,35.45,6.80,79.07k,30.73k,38.55%
2924,LKCO,0.9244,1.3471,3.8600,0.5810,2.55M,4.33M,4.09%
2925,LUXAU,10.18,10.31,14.49,10.00,562.68k,93.55k,19.47%
2926,LYEL,10.90,13.39,19.84,6.90,1.49M,492.59k,31.08%
2927,LYRA,6.0260,7.9889,16.5000,3.9100,113.54k,60.36k,72.63%
2928,MHMY,,,,,,,
2929,MBTF,,,,,,,
2930,MEIP,2.7684,2.9518,4.5800,2.2800,951.96k,1.54M,71.11%
2931,MGEE,77.03,76.20,82.95,63.00,80.07k,68.9k,51.57%
2932,MICT,1.1838,1.7054,3.2300,0.7620,1.14M,1.27M,9.66%
2933,MIND,1.6310,1.9718,3.0500,1.3600,311.39k,452.39k,24.92%
2934,WMIH,,,,,,,
2935,MTSC,,,,,,,
2936,MCBC,8.64,8.82,10.66,7.37,94.99k,83.86k,36.22%
2937,MGNX,18.52,24.52,36.48,15.72,491.43k,457.3k,96.52%
2938,MXICD,,,,,,,
2939,HIGGX,,,,,,,
2940,MDGL,82.26,96.77,142.62,68.56,234.7k,136.97k,85.58%
2941,MGTA,6.18,8.60,14.20,4.44,242.84k,170.99k,84.49%
2942,MECAD,,,,,,,
2943,MGYR,11.89,11.21,12.49,7.43,1.73k,4.94k,25.29%
2944,MSFG,,,,,,,
2945,MAJCD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2946,MMUS,,,,,,,
2947,MLAC,9.97,9.92,10.50,9.66,18.6k,39.49k,75.25%
2948,MACU,9.99,9.94,10.48,9.66,7.37k,22.28k,80.63%
2949,MLVF,16.43,17.81,19.38,15.12,23.21k,9.16k,70.74%
2950,MMMB,2.2602,2.4259,2.8800,1.8000,148.61k,77.24k,5.33%
2951,TUSK,2.4990,3.5364,7.2700,1.7300,105.44k,537.84k,63.44%
2952,MAAQU,10.24,10.24,10.38,10.18,19.44k,153.81k,N/A
2953,MANH,164.22,148.80,188.52,101.18,287.8k,298.84k,101.36%
2954,MNTX,6.53,7.28,9.62,4.87,33.64k,23.08k,53.73%
2955,MTEX,38.18,29.45,49.08,13.65,8.07k,11.69k,26.92%
2956,MAQC,10.05,9.98,11.37,9.75,25.14k,260.82k,0.66%
2957,MRVI,40.51,42.29,63.55,25.32,1.08M,1.58M,89.82%
2958,MRBA,,,,,,,
2959,MRNS,11.52,13.88,20.04,9.10,164.54k,154.49k,89.13%
2960,MRKR,1.2692,2.0273,3.7700,0.9000,524.11k,431.63k,34.11%
2961,MKTX,389.93,446.87,589.25,341.50,250.62k,259.09k,98.08%
2962,FINM,9.77,9.73,10.30,9.56,52.91k,50.37k,50.44%
2963,MQ,22.73,25.25,37.90,15.11,6.96M,8.06M,126.92%
2964,MAR,157.14,146.94,171.68,115.50,2.05M,2.13M,61.57%
2965,MIPRB,,,,,,,
2966,MRTN,16.82,16.43,18.32,14.72,535.58k,329.44k,69.17%
2967,MRVL,76.93,60.18,93.85,37.92,10.13M,8.63M,87.70%
2968,MCFT,27.48,26.98,33.63,23.61,121.17k,123.67k,88.18%
2969,MTCH,142.34,147.75,182.00,118.51,2.55M,2.71M,100.11%
2970,MTRX,9.24,10.89,16.32,6.18,820.12k,229.87k,88.85%
2971,MTTR,23.90,17.37,37.60,10.45,5.61M,6.08M,15.25%
2972,MATW,36.46,36.95,43.75,27.96,146.6k,103.31k,79.39%
2973,MXGL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2974,MXCT,10.73,12.55,17.44,8.53,1.57M,873.92k,55.79%
2975,MAXN,18.98,18.91,57.97,13.54,639.28k,566.32k,39.99%
2976,JMAC,9.91,9.91,9.99,9.85,33.55k,132.65k,N/A
2977,MAXY,,,,,,,
2978,MGRC,77.61,77.87,87.53,64.58,90.67k,83.11k,85.96%
2979,MLAIU,10.07,10.07,10.20,10.05,50.8k,500.63k,N/A
2980,MCIP,,,,,,,
2981,MKTYD,,,,,,,
2982,MTAC,9.94,9.84,11.18,9.45,67.51k,69.28k,58.63%
2983,MFIN,8.40,8.43,9.50,3.50,1.41M,250.78k,31.25%
2984,MEDE,,,,,,,
2985,MSII,N/A,N/A,0.0000,0.0000,N/A,N/A,N/A
2986,MDIA,6.0027,5.6538,17.4000,2.5000,171.83k,261.97k,22.26%
2987,MDMD,,,,,,,
2988,MDCO,,,,,,,
2989,MDSO,,,,,,,
2990,MEDP,214.00,186.48,231.00,130.74,191.32k,164.63k,79.51%
2991,MEET,,,,,,,
2992,MGTX,20.29,15.61,24.90,11.60,231.5k,377.44k,64.52%
2993,MBTC,10.00,9.93,10.35,9.70,1.69k,7.65k,0.00%
2994,MEMP,,,,,,,
2995,MNLO,,,,,,,
2996,CSIB,,,,,,,
2997,MTDB,,,,,,,
2998,SPPX,,,,,,,
2999,MTSLD,,,,,,,
3000,MELI,"1,372.39","1,532.07","2,020.00","1,018.73",512.6k,611.91k,83.00%
3001,MPRA,,,,,,,
3002,MERC,11.03,12.60,18.14,9.51,390.11k,326.94k,49.55%
3003,MRCY,50.90,58.96,88.80,44.44,1.15M,674.82k,95.73%
3004,MCMJ,10.14,10.01,11.27,9.75,364.42k,777.8k,71.11%
3005,VIVO,19.27,20.41,30.65,17.00,509.54k,437.95k,98.18%
3006,MERX,,,,,,,
3007,SRRR,,,,,,,
3008,CSJB,,,,,,,
3009,LNDU,,,,,,,
3010,MTTX,,,,,,,
3011,ARRQ,,,,,,,
3012,MACK,4.2720,5.4542,9.4500,3.6800,29.71k,18.02k,62.57%
3013,MRUS,28.44,23.73,33.00,15.93,304.44k,575k,57.90%
3014,MLAB,315.07,281.62,333.42,232.88,28.69k,33.38k,93.53%
3015,MMAT,3.9266,4.6694,21.7600,1.3600,9.23M,7.52M,13.84%
3016,MTCR,1.4068,3.2660,11.0000,0.6040,11.8M,3.45M,62.30%
3017,MTLKD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3018,METX,0.3926,0.8787,4.2700,0.2500,17.96M,94.82M,6.10%
3019,INFOD,,,,,,,
3020,MCBS,26.33,20.30,29.82,14.00,45.73k,33.13k,15.36%
3021,MFBC,,,,,,,
3022,MDH,9.85,9.78,9.93,9.60,88.08k,88.69k,52.73%
3023,INKT,12.1966,12.1833,22.1550,3.7000,146.93k,114.59k,N/A
3024,MSTR,691.21,643.53,"1,315.00",406.51,405.33k,500.19k,75.70%
3025,MCHP,82.52,77.15,90.00,64.53,3.88M,3.98M,91.49%
3026,MICTW,,,,,,,
3027,MSTRW,,,,,,,
3028,MVISW,,,,,,,
3029,MSVB,15.14,15.34,16.59,14.16,2.32k,2.73k,26.58%
3030,MBRK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3031,MIDD,184.63,176.99,198.46,123.93,411.94k,358.7k,97.40%
3032,MSEX,106.03,96.02,117.32,67.09,168.27k,94.78k,65.88%
3033,MSBI,25.02,26.02,30.32,17.70,84.69k,75k,60.36%
3034,MDWT,25.44,37.71,59.21,13.16,17.67k,31.44k,40.53%
3035,MILB,,,,,,,
3036,SMCGW,,,,,,,
3037,MLKN,39.18,42.32,51.25,32.67,478.21k,548.66k,N/A
3038,MIME,77.80,59.98,85.48,38.84,3.12M,1.35M,89.60%
3039,MSPD,,,,,,,
3040,UTRS,7.1911,7.1911,10.3700,4.2800,195.77k,245.04k,N/A
3041,MINM,1.4348,2.4344,5.2800,1.1200,273.78k,126.49k,9.84%
3042,MRAE,,,,,,,
3043,MRTX,151.87,159.80,225.47,127.12,419.18k,494.42k,104.01%
3044,MIRO,7.1522,8.4972,16.5210,4.2100,93.71k,27.6k,15.64%
3045,MSON,25.62,22.03,26.99,11.14,21.56k,54.58k,42.70%
3046,AVO,18.67,19.62,22.93,14.71,248.78k,144k,22.69%
3047,MITL,,,,,,,
3048,CMKG,,,,,,,
3049,MINI,,,,,,,
3050,MOBQ,6.3916,7.3711,11.0000,2.0100,1.17M,204.62k,0.00%
3051,MPAC,10.00,9.94,11.65,9.69,12.54k,124.01k,55.06%
3052,MODV,150.78,160.51,211.94,121.00,77.32k,67.59k,100.68%
3053,MFLO,,,,,,,
3054,MIPI,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3055,MBRX,2.3006,3.1030,8.7800,1.6400,318.65k,266.64k,16.56%
3056,MNTV,21.89,20.43,28.12,16.35,1.11M,1.21M,80.62%
3057,MNRK,,,,,,,
3058,MDB,520.89,400.57,590.00,238.01,831.16k,811.91k,90.54%
3059,MNRTP,,,,,,,
3060,MPWR,527.67,435.47,580.00,301.51,329.69k,319.19k,96.19%
3061,MROE,,,,,,,
3062,MRCC,10.97,10.77,11.85,7.85,111.83k,90.2k,22.63%
3063,MNTK,10.53,9.71,14.93,6.15,135.77k,89.4k,6.32%
3064,MTRY,9.87,9.87,9.90,9.85,16.18k,122.93k,3.78%
3065,MON,9.77,9.74,10.00,9.51,2.02k,35.49k,70.56%
3066,NPLU,,,,,,,
3067,NDXP,,,,,,,
3068,NDLT,,,,,,,
3069,NXPL,,,,,,,
3070,MACA,9.72,9.71,10.18,9.60,1.69k,16.36k,14.91%
3071,MORF,53.18,56.81,93.00,29.21,188.14k,149.86k,71.11%
3072,MOTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3073,MOTN,10.00,10.01,11.86,9.77,605.45k,145.92k,91.95%
3074,MSGM,9.1244,13.9170,38.0000,2.7700,42.41k,17.18k,24.62%
3075,MOTS,0.5671,0.8636,2.7400,0.4000,1.56M,1.11M,13.30%
3076,MCAE,9.88,9.80,10.13,9.37,19.97k,20.9k,0.00%
3077,MCAGU,10.07,10.07,10.13,10.02,1.6k,26.88k,15.72%
3078,MCAA,,,,,,,
3079,MOVE,3.3599,4.3281,7.4500,2.6800,108.17k,63.46k,15.75%
3080,MNDX,,,,,,,
3081,COOP,42.16,37.56,45.27,26.93,1.34M,788.72k,74.82%
3082,UNCL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3083,MSCS,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3084,MTGE,,,,,,,
3085,MULN,8.27,10.00,17.87,4.92,596.08k,930.44k,N/A
3086,MBND,,,,,,,
3087,MBIO,2.1240,2.8014,5.2200,1.6200,1.26M,1.11M,28.80%
3088,MYSZ,0.8985,1.1621,2.9700,0.5100,783.14k,5.9M,15.85%
3089,MYNDW,,,,,,,
3090,MYGN,28.41,30.36,36.95,19.50,789.52k,510.96k,101.65%
3091,MWAVD,,,,,,,
3092,MTSI,73.71,63.48,80.30,48.68,327.51k,336.42k,74.83%
3093,MACQ,9.93,9.81,10.28,9.45,482.11k,274.68k,5.90%
3094,MDJH,3.0167,4.5922,8.6000,1.7000,20.93k,62.18k,0.65%
3095,MEKA,12.70,12.58,14.70,10.56,20.42k,99.82k,N/A
3096,MGPI,77.05,67.80,89.50,45.61,151.7k,135.36k,81.52%
3097,MNDO,3.1424,3.1302,3.8000,2.4500,21.21k,24.16k,17.63%
3098,MKSI,158.46,164.33,199.44,138.70,434.76k,425.78k,97.67%
3099,MTC,1.2781,1.5879,5.9400,0.6100,137.31k,144.57k,11.82%
3100,MSDA,9.88,9.85,10.50,9.67,56.67k,63.39k,48.23%
3101,MVBF,41.95,40.82,45.94,21.24,27.32k,30.18k,46.04%
3102,MYRG,109.74,94.52,121.22,54.87,119.21k,100.99k,91.94%
3103,MACE,0.2904,0.4344,0.7400,0.2300,101.05k,176.45k,8.21%
3104,DRAY,9.82,9.80,10.18,9.61,340,47.86k,6.40%
3105,MXIC,,,,,,,
3106,HITGX,,,,,,,
3107,MAFB,,,,,,,
3108,MGLN,94.67,94.42,99.36,82.94,186.08k,143.09k,99.79%
3109,MGIC,22.09,18.71,25.49,14.38,24.92k,34.84k,23.58%
3110,MECA,,,,,,,
3111,MGNI,21.32,29.78,64.39,15.83,2.02M,2.19M,68.68%
3112,MHLD,3.1484,3.2998,4.0000,2.1000,87.38k,79.75k,49.54%
3113,MNSB,24.28,22.97,26.85,16.65,20.9k,13.06k,43.97%
3114,MYNZ,9.60,9.60,18.00,7.80,81.46k,349.53k,N/A
3115,MAJC,,,,,,,
3116,MMYT,29.78,28.47,39.02,22.96,255.2k,470.37k,68.35%
3117,MBUU,70.08,75.38,93.00,60.81,114.11k,125.96k,106.47%
3118,MACUU,10.27,10.26,11.75,10.06,110,59,10.66%
3119,MAMA,,,,,,,
3120,MANT,75.65,81.82,101.35,66.91,276.04k,157.55k,100.92%
3121,MNDT,17.50,19.06,24.15,15.72,3.4M,2.78M,91.10%
3122,LOAN,6.02,6.35,8.05,4.89,43.21k,50.65k,9.88%
3123,MNKD,4.5550,4.4429,6.2500,3.0300,2.34M,2.74M,46.46%
3124,MARA,50.06,37.58,83.45,10.53,11.64M,13.42M,37.36%
3125,GATE,9.79,9.79,9.82,9.76,106.64k,106.76k,0.00%
3126,MCHX,2.8602,2.8846,3.6700,1.9900,48.75k,91.02k,67.36%
3127,MRIN,5.5632,5.2824,27.2600,1.3400,1.02M,1.2M,19.26%
3128,LEDR,,,,,,,
3129,MKTW,7.05,8.99,16.97,5.56,270.96k,228.06k,N/A
3130,MRLN,22.90,21.62,23.25,11.35,43.49k,28.13k,76.58%
3131,MRAI,4.6334,4.6334,6.3100,3.3000,1.04M,2.94M,N/A
3132,MBII,0.7844,1.2840,2.9000,0.6200,532.01k,641.78k,74.01%
3133,MSHLD,,,,,,,
3134,MMLP,2.9780,2.8921,3.6700,1.4300,151.19k,116.27k,31.90%
3135,MASI,286.88,259.30,305.21,205.10,236.63k,239.93k,85.36%
3136,MATV,,,,,,,
3137,MTXC,,,,,,,
3138,MAT,21.41,20.75,23.31,16.85,2.78M,3.17M,99.94%
3139,MFRM,,,,,,,
3140,MIGI,9.79,5.62,17.25,0.20,208.57k,164.57k,0.05%
3141,MXL,67.34,48.85,77.89,30.47,536.79k,563.27k,86.63%
3142,MXIM,,,,,,,
3143,MRTI,157.57,145.32,175.00,119.00,210,69,0.00%
3144,MFLR,,,,,,,
3145,MCFE,24.67,25.07,32.83,16.47,1.77M,2.01M,95.28%
3146,MLAI,9.87,9.87,10.05,9.80,215.78k,215.78k,13.87%
3147,MCDT,,,,,,,
3148,MVCO,,,,,,,
3149,MKTY,11.33,8.81,18.90,1.27,185.35k,206.24k,4.30%
3150,MDVL,2.0250,7.5370,17.4800,1.2100,250.61k,151.81k,85.38%
3151,MDRR,1.1160,1.3232,3.4000,0.9600,200.78k,146.53k,2.01%
3152,MDTH,,,,,,,
3153,MDWD,2.9229,3.8276,6.2200,2.2000,101.93k,99.74k,13.87%
3154,MDIAV,,,,,,,
3155,MDNU,,,,,,,
3156,MDNA,1.9711,2.8223,4.8400,1.4700,301.35k,195.07k,9.26%
3157,MNOV,3.2820,3.9068,10.8100,2.5700,252.12k,522k,27.00%
3158,MSAC,9.72,9.71,10.29,9.58,2.02k,26.72k,89.18%
3159,MEDW,,,,,,,
3160,MDWW,,,,,,,
3161,WNW,3.1362,5.7611,40.0000,2.2400,193.06k,949.45k,0.16%
3162,MELR,,,,,,,
3163,MRD,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3164,MENT,,,,,,,
3165,AQQQ,,,,,,,
3166,MRQQ,,,,,,,
3167,MSPX,,,,,,,
3168,MRNT,,,,,,,
3169,MBNAB,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3170,MBWM,35.10,32.52,37.33,26.75,55.19k,38.88k,54.71%
